Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,19,22,22,22,20,19,21,24,12,17,24,22,18,17,24,17,19,15,24,13,16,17,19,22,18,19.32,19,3.31928,4.68,7.32
2,24,19,18,16,20,24,18,18,17,19,22,22,17,24,24,21,14,21,22,12,17,17,16,17,22,19.24,19,3.21596,4.76,7.24
3,19,16,22,18,18,20,22,16,13,10,22,15,20,24,17,19,22,13,14,24,14,19,15,19,19,18,19,3.58887,6,8
4,16,14,17,22,15,17,22,18,12,19,17,14,24,15,15,17,17,19,16,16,19,20,13,13,12,16.76,17,3.06307,7.24,4.76
5,18,17,15,19,11,16,21,21,19,12,11,15,13,18,17,14,18,11,22,19,17,15,17,11,18,16.2,17,3.24962,5.8,5.2
6,12,14,13,16,8,14,11,15,15,12,22,8,14,17,17,14,17,12,19,14,18,12,18,17,11,14.4,14,3.2619,7.6,6.4
7,19,8,14,14,14,16,17,14,16,13,5,15,15,11,11,10,15,13,18,11,18,13,15,16,14,13.8,14,3.1241,5.2,8.8
8,15,9,15,14,16,15,18,15,14,22,8,10,15,13,16,16,13,14,11,16,15,12,13,11,21,14.28,15,3.16885,7.72,6.28
9,15,16,16,17,14,11,13,11,15,17,17,15,7,12,14,11,13,17,18,8,17,12,12,15,15,13.92,15,2.8273,4.08,6.92
10,16,12,18,8,11,12,11,12,14,16,17,18,13,13,10,14,19,6,11,16,12,14,11,15,16,13.4,13,3.1241,5.6,7.4
11,11,12,13,14,15,9,13,8,8,10,19,11,12,19,11,3,15,14,14,16,19,12,10,13,11,12.48,12,3.60133,6.52,9.48
12,11,12,11,9,15,11,17,10,10,12,11,10,8,13,10,10,11,10,12,8,14,12,13,5,10,11,11,2.34947,6,6
13,11,17,11,12,10,9,11,8,16,15,13,13,13,15,15,13,13,11,10,11,12,13,13,13,8,12.24,13,2.26769,4.76,4.24
14,13,3,9,5,8,8,8,10,10,3,11,10,8,4,8,11,8,11,13,10,4,6,8,10,12,8.44,8,2.85769,4.56,5.44
15,9,8,11,7,10,7,10,7,10,14,8,9,5,13,14,12,10,5,4,5,12,10,8,9,5,8.88,9,2.80457,5.12,4.88
16,7,8,6,12,10,9,7,8,7,5,10,5,12,9,8,11,7,11,4,8,11,5,9,4,3,7.84,8,2.54055,4.16,4.84
17,6,11,5,5,4,8,7,8,7,9,3,6,6,8,1,0,8,3,9,10,5,11,6,12,13,6.84,7,3.196,6.16,6.84
18,4,16,6,8,9,9,7,11,6,12,6,6,10,12,15,10,4,9,10,8,10,7,10,7,10,8.88,9,2.91644,7.12,4.88
19,11,6,6,14,11,8,8,7,7,7,7,11,9,6,13,11,9,8,5,11,12,8,8,7,11,8.84,8,2.3779,5.16,3.84
20,12,7,10,4,8,16,4,8,7,9,8,8,8,7,2,9,3,15,1,6,7,7,6,13,10,7.8,8,3.56651,8.2,6.8
